neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691135743102827,7.216578665071552,0.02709816318524682,81,0.1295770222253249
exc_23P_864691135749141801,17.57646261784197,0.0001525174855842312,104,0.013968903953862207
exc_23P_864691135749995049,8.36592015579356,0.015253289749770544,78,0.09591627495591007
exc_23P_864691135751149353,6.252171448577087,0.04388925611440664,41,0.16726422383707912
exc_23P_864691135757002450,6.709601186344429,0.03491633201561652,52,0.14841176510812748
exc_23P_864691135757092306,13.380739450918611,0.001242823184632949,94,0.029865604255813614
exc_23P_864691135760050254,7.738858429969923,0.020870278468349126,97,0.11441193683418059
exc_23P_864691135763433270,7.622346938775507,0.02212220399043151,49,0.11765490579985714
exc_23P_864691135763495478,0.9631719403914758,0.617802797591259,149,0.7298611090882279
exc_23P_864691135763941174,10.313455742908673,0.005760518036337091,113,0.0625177033588259
exc_23P_864691135764583990,2.5621226874391425,0.2777423638527917,79,0.44254485551963724
exc_23P_864691135764631862,6.315441176470614,0.04252255711373961,51,0.16380761641292846
exc_23P_864691135764932662,5.173044363044369,0.07528140038534839,90,0.20741189951530267
exc_23P_864691135772053835,2.2240449300420835,0.3288931131580679,81,0.4927634729726343
exc_23P_864691135773073147,7.561156582500075,0.022809497077795036,103,0.1192339969494518
exc_23P_864691135774053371,2.211394580116121,0.3309800126875491,106,0.49346950287725244
exc_23P_864691135774177531,3.605205091937762,0.1648692495860384,100,0.3282034037383148
exc_23P_864691135774179147,3.887418002179345,0.14317193889574983,99,0.2983446445995255
exc_23P_864691135774307659,2.467392493708303,0.2912141863880962,95,0.4566256238271743
exc_23P_864691135774368763,3.1080096581894736,0.21139965678207562,114,0.3787004972847026
exc_23P_864691135777789357,1.4922172915903502,0.4742082793935696,87,0.6169197711922119
exc_23P_864691135778419901,1.9914721444133079,0.3694514015263168,68,0.5262405705951134
exc_23P_864691135778467517,4.033680342927141,0.13307529655261102,70,0.28652062842848175
exc_23P_864691135778638013,1.975358688151431,0.3724399939985363,76,0.5287361933392235
exc_23P_864691135778811325,5.154781250414544,0.07597198498982409,88,0.20877648317255001
exc_23P_864691135778815421,15.374543501611186,0.00045862771712417235,56,0.02280339672584838
exc_23P_864691135779629245,13.06471043870647,0.0014555736143931363,91,0.03323047487287115
exc_23P_864691135779683261,0.10317900195605034,0.9497186454106481,89,0.9646073462650668
exc_23P_864691135779705021,0.02872340425531661,0.9857409351800432,47,0.9894432485516115
exc_23P_864691135782145872,6.031491375231184,0.04900927624747785,81,0.17578016865242974
exc_23P_864691135782156880,7.999798327394416,0.01831748586316247,76,0.10590242275110766
exc_23P_864691135782241616,7.70577493360102,0.02121838053009122,69,0.11572677952381386
exc_23P_864691135782265424,15.122909954192835,0.0005201179334033714,117,0.023365174491013937
exc_23P_864691135782542416,12.216589602348137,0.0022243405236241458,55,0.03898065606154446
exc_23P_864691135782702387,13.394208494208499,0.001234481485200172,36,0.029865604255813614
exc_23P_864691135784960307,7.444768006212428,0.02417626280290213,101,0.12333166353865122
exc_23P_864691135801133666,9.463111325611294,0.008812750701901755,111,0.07298010017020566
exc_23P_864691135801163874,0.6637071164129793,0.7175924006785277,65,0.8043103186036765
exc_23P_864691135801267554,2.2665201509383905,0.3219818583769405,86,0.48649979732148324
exc_23P_864691135802453858,1.2436421499293147,0.5369656919021187,100,0.6672910133548733
exc_23P_864691135810308125,5.511636943345934,0.06355697878792628,93,0.19381137383709207
exc_23P_864691135816565839,11.004703684922504,0.0040771712893098635,88,0.05188685843181243
exc_23P_864691135816693327,2.9089222803458767,0.23352616787318836,57,0.39974295189181486
exc_23P_864691135817949519,1.6848176682074723,0.4306718558884365,59,0.5754852674309233
exc_23P_864691135838916755,4.697531104423206,0.09548696316152715,72,0.23438705768007467
exc_23P_864691135839932307,3.3822554416009893,0.18431155477533182,106,0.3492024336175499
exc_23P_864691135839950227,7.055719909434458,0.029367696867135234,93,0.13387662239218578
exc_23P_864691135842486243,14.72539878084342,0.0006344834273227002,104,0.023365174491013937
exc_23P_864691135848030814,5.262579962711783,0.07198554231168881,75,0.20488422087986818
exc_23P_864691135850033758,3.776629296556422,0.15132663264306065,68,0.31109263518352276
exc_23P_864691135851792071,0.9960736893729063,0.6077225431434314,117,0.7203670305270649
exc_23P_864691135852138183,12.749326117704925,0.0017041939121278141,100,0.0353392494402371
exc_23P_864691135853055175,0.7507770491206429,0.6870223018930155,86,0.7839131291423982
exc_23P_864691135855860782,13.867883851449733,0.0009741532501083502,72,0.028716799627959994
exc_23P_864691135855890478,3.071049607277814,0.21534264890408356,97,0.381127966355075
exc_23P_864691135861093992,10.26827963147963,0.005892117632844547,99,0.06335602142646675
