neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,clark_evans_raw,interval_cv_raw,pairwise_compactness_raw,clark_evans_z,interval_cv_z,pairwise_compactness_z
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,23,9,1136.0,6463.026289900588,0.01050285534917878,646332.1759102507,10,0,0,,0,0.7914363735859943,1.1200275414880172,0.3747203897778989,-0.44747885770782514,1.0544671702492259,0.7134925649774753
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,24,18,338.10714285714283,116291.4633042435,0.34640271704043435,1345039.57213513,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,25,18,310.2809917355372,212629.86714597332,0.6611611246621817,1393208.7740559948,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,26,4,282.90909090909093,14600.976819704116,0.04754655848023596,515311.3992044924,1,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,27,3,320.3529411764706,59281.573974959756,0.1814119934261933,537651.6977821202,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,28,15,524.0,52960.66680867296,0.12672095242427928,926501.2145497822,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,29,15,446.3333333333333,78772.61133440444,0.2042237323046049,939407.186812648,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,30,7,363.8333333333333,21172.711328657588,0.06079751954655872,554432.0252806509,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,31,7,482.56,95695.00587446387,0.2386020885581977,591693.1725535541,2,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,32,15,324.5,7246.2444769341955,0.022032625833176816,981025.8529841267,0,0,0,,0,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,33,15,339.1794871794872,62751.81150198282,0.18662598167480032,1008778.636496651,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,34,3,366.15384615384613,28411.736253634997,0.08132547369955913,581498.3528964176,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,35,2,369.21875,117037.35455299582,0.3336132186466879,625811.162046098,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,36,2,319.6666666666667,13107.293409243544,0.04015364475765916,948235.9668821968,1,0,0,,0,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,37,2,318.16129032258067,114369.51942962004,0.35119413456018395,998867.0798923852,1,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,38,9,382.72340425531917,78247.93971746802,0.21907409596200786,730465.682398303,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,39,9,347.0769230769231,52092.467423372684,0.15315200502061027,717387.9462512552,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,40,10,346.85714285714283,9460.685791475957,0.027823254296212133,665089.6163653935,8,0,0,,0,0.3737452674125462,0.845817950934321,0.4184183422405976,-2.1213818073062303,0.1449497119740694,1.2806211541053494
