neuron_label,H,p_value,n_branches,p_bh
inh_BC_864691136392622207,6.021849495533701,0.0492461174602063,38,0.1891822300415281
inh_BC_864691136445968259,1.5901948827846581,0.4515372343620846,77,0.6197569883401162
inh_BC_864691136452920319,5.5531585373690575,0.062251087825316076,65,0.20794936548071277
inh_BC_864691136484824108,0.6015334947538236,0.7402504179626821,59,0.8121869789559207
inh_BC_864691136484883756,2.1524778644112814,0.3408751723501057,46,0.4991895829394854
inh_BC_864691136523889553,2.4210404596134367,0.29804218866176363,46,0.4677792198727232
inh_BC_864691136619199963,0.13984776928444376,0.9324647920961431,46,0.950464744629393
inh_BC_864691136619344859,18.841286189162787,8.103389009331226e-05,74,0.007549303340056377
inh_BC_864691136675339655,1.8914876033057908,0.388390577884535,55,0.5548436826921929
inh_BC_864691136742921308,6.499279567179656,0.038788177453566865,46,0.176309897516213
inh_BC_864691136813553523,9.152483855150507,0.01029350744569946,68,0.09305507999207352
inh_BC_864691136814025587,14.512698412698427,0.0007056796292813764,54,0.02744309669427575
inh_BC_864691136814060915,3.242817460317468,0.19762010949269287,24,0.37590781696979625
inh_BC_864691136905941426,12.387873237873237,0.002041773228691626,99,0.047391701300987715
inh_BC_864691136913135089,1.4944138562593992,0.47368775071347635,43,0.6376565874989104
inh_BC_864691136953976287,0.5110071105364966,0.7745263829065689,50,0.8406780751707441
inh_BPC_864691135115194009,3.4684210526315837,0.17653951858918596,19,0.34908944353793836
inh_BPC_864691135119630813,2.274128893000295,0.3207592470306283,46,0.47570227313864366
inh_BPC_864691135271343525,0.3637708445400847,0.8336968580370014,65,0.8896155497346052
inh_BPC_864691135293398284,2.4610038610038742,0.2921459039337246,36,0.4675084703392
inh_BPC_864691135347627423,1.840857671740011,0.3983481784634458,33,0.5621849292830888
inh_BPC_864691135359413848,0.31371705217858903,0.8548249856971796,64,0.8963649048457885
inh_BPC_864691135376096329,1.4954196866067662,0.4734495858494362,79,0.6376565874989104
inh_BPC_864691135398762529,6.906760886172677,0.031638503241808225,34,0.1559644526004631
inh_BPC_864691135431579440,3.4878038628038723,0.17483686647305693,32,0.3481870723004293
inh_BPC_864691135456493418,3.75136476426799,0.15325035585178975,30,0.3290651812768492
inh_BPC_864691135464678206,2.7520571543801964,0.25257966446638747,57,0.43981533613550056
inh_BPC_864691135465900101,2.5799296462771224,0.27528046642226084,42,0.4566263661032763
inh_BPC_864691135503004765,1.2774235568353305,0.5279721312366421,33,0.6695298765682055
inh_BPC_864691135528193883,0.133340419171617,0.9355036706118846,55,0.950464744629393
inh_BPC_864691135545730856,2.2750946969696884,0.32060438914722633,32,0.47570227313864366
inh_BPC_864691135565770007,0.320158102766797,0.8520764284833439,22,0.8963649048457885
inh_BPC_864691135566902039,2.3412121212121235,0.31017889707780316,44,0.47407255011891314
inh_BPC_864691135577956101,1.534189409763826,0.4643602138983768,53,0.634867479939187
inh_BPC_864691135584471405,7.605282666593439,0.022311761159355795,43,0.13463993803059532
inh_BPC_864691135587622268,0.7651282051282067,0.68211016456443,25,0.7776500247477215
inh_BPC_864691135592678411,2.390327695560245,0.30265436087420344,43,0.4728974388659429
inh_BPC_864691135616235979,1.0874608150470237,0.5805784136167111,29,0.6935237022725218
inh_BPC_864691135618339945,1.2464387464387414,0.5362153784155634,26,0.6702692230194542
inh_BPC_864691135646493679,0.6738864679064136,0.713949366835598,42,0.7958034343708894
inh_BPC_864691135659824514,3.6291146761735007,0.16291000648663792,33,0.33738758739836255
inh_BPC_864691135697271450,1.5928571428571416,0.4509365794505328,32,0.6197569883401162
inh_BPC_864691135742733163,0.4486689780807467,0.7990478169269838,33,0.8605130336136748
inh_BPC_864691135742824555,0.35550191001696874,0.8371508857646903,31,0.8905860486858408
inh_BPC_864691135764644150,0.06045678459470594,0.9702239165724136,28,0.9795503903829829
inh_BPC_864691135774127611,3.5376887340301835,0.17052994502833704,41,0.3470086090692905
inh_BPC_864691135778773856,1.656410256410254,0.436832641687652,26,0.6067120023439612
inh_BPC_864691135839999379,0.05853994490358616,0.9711542441797002,32,0.9795503903829829
inh_BPC_864691135941886118,0.9613445378151368,0.618367542768161,34,0.7262706039223367
inh_BPC_864691135954940424,1.2150000000000034,0.27034414065477624,16,0.4566263661032763
inh_BPC_864691135992790209,0.5590961628113575,0.7561253713704161,37,0.8270121249363926
inh_BPC_864691135995711402,1.2515096618357404,0.5348575490931161,23,0.6702692230194542
inh_BPC_864691136012173475,1.0911371237458098,0.5795122011123448,23,0.6935237022725218
inh_BPC_864691136026013497,0.8210678210678282,0.6632960148503271,32,0.7586719124105048
inh_BPC_864691136034482107,5.533465414764407,0.0628670746769754,47,0.20794936548071277
inh_BPC_864691136034526651,5.79483607510133,0.05516547150936237,72,0.20761198955136376
inh_BPC_864691136102207349,1.746436035229138,0.41760552271263873,28,0.5846477317976942
inh_BPC_864691136108370905,3.8085470085470092,0.1489308009195244,45,0.3217640760607009
inh_BPC_864691136137210507,1.4656964656964675,0.48053835394681066,36,0.6401187225570888
inh_BPC_864691136196240342,0.04750337381916836,0.9765281643807107,38,0.9821403952104848
